Num_Acc,id_vehicule,num_veh,place,catu,sexe,trajet,secu1,secu2,secu3,locp,actp,etatp,year_acc,victim_age,senc,catv,obs,obsm,choc,manv,motor,occutc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma,jour,mois,lum,dep,com,agg_,int,atm,col,adr,lat,long,hour,nb_victim,nb_vehicules
202100014733,175Â 373,B01,2,2,1,0,1,0,-1,-1, -1,-1,2021,28.0,2,2,4,2,2,1,1,,1,AUTOROUTE A6B,0,,2,3,0,2,8,157,1,, -1,1,0,1,110,6,10,1,91,91689,1,1,0,3,AUTOROUTE A6B,48.74824,2.32786,16,3,2
202100049616,113Â 055,A01,10,3,1,5,0,-1,-1,9,3,1,2021,6.0,0,2,0,1,1,1,1,,4,VAILLANT COUTURIER. RUE PAUL,0,,2,2,0,1,0,0,3,, -1,1,0,1,50,10,2,1,76,76322,2,1,0,6,VAILLANT COUTURIER. RUE PAUL,49.41898,1.04294,17,2,1
202100056464,100Â 975,A01,1,1,1,9,8,-1,-1,0,0,-1,2021,30.0,2,2,3,0,2,1,1,,3,D8,0,,2,2,0,1,11,600,1,, -1,2,2,4,80,3,1,3,70,70504,1,1,1,6,D8,47.61213,5.964192,2,2,1
202100053376,106Â 316,A01,1,1,1,5,1,-1,-1,0,0,-1,2021,85.0,1,2,2,0,1,1,1,,3,13,-1,,2,2,0,1,2,780,2,, -1,2,0,3,80,28,1,1,56,56122,1,1,1,6,Rue du 20 Janvier 1944,48.000081,-2.385283,14,1,1
202100013718,177Â 184,A01,10,3,2,0,0,-1,-1,5,5,2,2021,11.0,1,2,0,0,0,1,0,,3,SAINT-DENIS (RUE DE),0,,2,2,0,1,0,1,1,, -1,1,0,1,50,12,10,1,93,93001,2,1,0,6,SAINT-DENIS (RUE DE),48.9220459402,2.373311258,16,2,1
202100049545,113Â 196,A01,1,1,1,0,2,6,-1,-1, -1,-1,2021,23.0,2,1,0,2,1,17,0,,3,986,0,,2,2,0,1,0,0,1,, -1,1,0,1,50,2,3,2,92,92050,2,2,0,3,REPUBLIQUE AVENUE DE LA,48.90921,2.21644,18,2,2
202100050984,110Â 549,B01,1,1,1,1,2,6,-1,0,0,-1,2021,41.0,2,1,0,2,2,17,1,,4,,0,,2,2,0,2,0,580,1,, -1,1,0,1,50,19,2,1,6,6085,1,1,0,3,Chemin du Grand Vallon,43.595931,6.965446,14,2,2
202100046803,118Â 114,A01,10,3,2,5,0,-1,-1,3,3,2,2021,10.0,2,2,0,1,3,1,1,,4,MEDERIC (AVENUE),0,,2,2,0,1,0,0,1,, -1,1,0,1,50,24,3,1,93,93051,2,1,0,6,MEDERIC (AVENUE),48.83012,2.5604,18,4,1
202100007415,188Â 504,A01,1,1,1,1,1,-1,-1,0,0,-1,2021,18.0,1,2,2,0,3,1,1,,3,,-1,,3,2,0,1,20,500,2,, -1,1,0,3,80,19,11,1,33,33494,1,1,0,6,Route de Castelnau,44.956724,-0.832697,16,1,1
202100007547,188Â 253,B01,1,1,2,0,2,6,-1,-1, -1,-1,2021,27.0,1,1,0,2,8,1,1,,1,AUTOROUTE A86,0,,1,8,0,1,25,100,1,, -1,1,0,1,90,18,11,5,93,93053,1,1,0,3,AUTOROUTE A86,48.89433,2.47141,19,2,2
202100015626,173Â 741,Z01,4,2,2,0,1,0,-1,-1, -1,-1,2021,21.0,3,2,15,0,0,26,0,,4,GEORGES POMPIDOU (RUE),0,,1,1,1,1,(1),(1),3,, -1,2,0,8,50,2,10,5,10,10387,2,6,1,6,GEORGES POMPIDOU (RUE),48.2909624564,4.0884447096,23,2,1
